,,,abs(corr)
BitsStored_DICOM,chi2,critical_diff,0.8757594756154791
BitsStored_DICOM,chi2,critical_value,1.3247815034891956e-16
BitsStored_DICOM,chi2,distance,0.875759475615479
BitsStored_DICOM,chi2,dof,0.0
BitsStored_DICOM,chi2,pval,0.6026065856182912
Columns_DICOM,ks,critical_diff,0.8777754697962089
Columns_DICOM,ks,critical_value,0.0
Columns_DICOM,ks,distance,0.877775469796209
Columns_DICOM,ks,pval,0.2341614516885331
ExposureInuAs_DICOM,ks,critical_value,0.0
Exposure_DICOM,chi2,critical_diff,0.867588063560516
Exposure_DICOM,chi2,critical_value,1.3247815034891956e-16
Exposure_DICOM,chi2,distance,0.867588063560516
Exposure_DICOM,chi2,dof,0.0
Exposure_DICOM,chi2,pval,0.2482835582371324
Frontal,stats,mean,0.0
Frontal,stats,median,0.0
Frontal,stats,std,0.0
Manufacturer_DICOM,chi2,critical_diff,0.8819586620358438
Manufacturer_DICOM,chi2,critical_value,1.3247815034891956e-16
Manufacturer_DICOM,chi2,distance,0.8819586620358438
Manufacturer_DICOM,chi2,dof,0.0
Manufacturer_DICOM,chi2,pval,0.3658902829222509
Modality_DICOM,chi2,distance,0.0
Modality_DICOM,chi2,dof,0.0
Modality_DICOM,chi2,pval,0.0
PatientSex_DICOM,chi2,critical_diff,0.04021148161945229
PatientSex_DICOM,chi2,critical_value,0.24533139764535972
PatientSex_DICOM,chi2,distance,0.048654314529564854
PatientSex_DICOM,chi2,dof,0.24533139764535988
PatientSex_DICOM,chi2,pval,0.2870354540949813
PhotometricInterpretation_DICOM,chi2,distance,0.0
PhotometricInterpretation_DICOM,chi2,dof,0.0
PhotometricInterpretation_DICOM,chi2,pval,0.0
PixelAspectRatio_DICOM,chi2,critical_diff,0.904900016513385
PixelAspectRatio_DICOM,chi2,critical_value,1.3247815034891956e-16
PixelAspectRatio_DICOM,chi2,distance,0.9049000165133851
PixelAspectRatio_DICOM,chi2,dof,0.0
PixelAspectRatio_DICOM,chi2,pval,0.4106250051118645
PixelRepresentation_DICOM,chi2,distance,0.0
PixelRepresentation_DICOM,chi2,dof,0.0
PixelRepresentation_DICOM,chi2,pval,0.0
Projection,chi2,critical_diff,0.6927418955421288
Projection,chi2,critical_value,1.3247815034891956e-16
Projection,chi2,distance,0.6927418955421288
Projection,chi2,dof,0.0
Projection,chi2,pval,0.5742467416115619
RelativeXRayExposure_DICOM,ks,critical_value,0.0
Rows_DICOM,ks,critical_diff,0.4125022227653435
Rows_DICOM,ks,critical_value,0.0
Rows_DICOM,ks,distance,0.41250222276534343
Rows_DICOM,ks,pval,0.26275853821719364
SpatialResolution_DICOM,chi2,critical_diff,0.9579950911111749
SpatialResolution_DICOM,chi2,critical_value,0.8025460731880026
SpatialResolution_DICOM,chi2,distance,0.958020030841656
SpatialResolution_DICOM,chi2,dof,0.7943821852507517
SpatialResolution_DICOM,chi2,pval,0.2726978417849582
ViewPosition_DICOM,chi2,critical_diff,0.882934836562533
ViewPosition_DICOM,chi2,critical_value,1.3247815034891956e-16
ViewPosition_DICOM,chi2,distance,0.882934836562533
ViewPosition_DICOM,chi2,dof,0.0
ViewPosition_DICOM,chi2,pval,0.37689209412028557
WindowCenter_DICOM,ks,critical_value,0.0
WindowWidth_DICOM,ks,critical_value,0.0
XRayTubeCurrent_DICOM,chi2,critical_diff,0.7639320334089565
XRayTubeCurrent_DICOM,chi2,critical_value,0.0
XRayTubeCurrent_DICOM,chi2,distance,0.7639320334089564
XRayTubeCurrent_DICOM,chi2,dof,0.0
XRayTubeCurrent_DICOM,chi2,pval,0.1424392200057984
activation.Atelectasis,ks,critical_diff,0.96271663215703
activation.Atelectasis,ks,critical_value,0.0
activation.Atelectasis,ks,distance,0.9627166321570299
activation.Atelectasis,ks,pval,0.5545000691384109
activation.Cardiomegaly,ks,critical_diff,0.9727627483521408
activation.Cardiomegaly,ks,critical_value,0.0
activation.Cardiomegaly,ks,distance,0.9727627483521406
activation.Cardiomegaly,ks,pval,0.6561039415448078
activation.Consolidation,ks,critical_diff,0.9679001533979499
activation.Consolidation,ks,critical_value,0.0
activation.Consolidation,ks,distance,0.9679001533979499
activation.Consolidation,ks,pval,0.3929202045758944
activation.Edema,ks,critical_diff,0.9656539511019095
activation.Edema,ks,critical_value,0.0
activation.Edema,ks,distance,0.9656539511019095
activation.Edema,ks,pval,0.6486090228882945
activation.Lesion,ks,critical_diff,0.9505368997975476
activation.Lesion,ks,critical_value,0.0
activation.Lesion,ks,distance,0.9505368997975477
activation.Lesion,ks,pval,0.5792464648603347
activation.No Finding,ks,critical_diff,0.9737706973545202
activation.No Finding,ks,critical_value,0.0
activation.No Finding,ks,distance,0.9737706973545199
activation.No Finding,ks,pval,0.5299043120408565
activation.Opacity,ks,critical_diff,0.9675263231259337
activation.Opacity,ks,critical_value,0.0
activation.Opacity,ks,distance,0.9675263231259339
activation.Opacity,ks,pval,0.49182674559867373
activation.Pleural Abnormalities,ks,critical_diff,0.9686010851662845
activation.Pleural Abnormalities,ks,critical_value,0.0
activation.Pleural Abnormalities,ks,distance,0.9686010851662845
activation.Pleural Abnormalities,ks,pval,0.5033745810547946
activation.Pleural Effusion,ks,critical_diff,0.9678285107830658
